name,center_j1,center_i1,angle1,center_3d1,center_j2,center_i2,angle2,center_3d2,center_j3,center_i3,angle3,center_3d3,Success?,1,friction,Fail_acce,Success?.1,0.5,friction.1,Fail_acce.1
asymmetrical2e4,156,126,48.6376495361328,"-0.008639553189277649,1.0260001774658647,0.002192390201404193",214,188,21.8420162200928,"0.008658605019251506,1.0458031367577358,0.014640179091016498",227,158,8.20982933044434,"0.0028781477610270185,1.0260001865423114,0.027734694233355183","1,1,1,1,1","37,43,50","1,1,1","23,36,50",,,,
asymmetrical2e5,151,134,48.6419677734375,"-0.005759932994842529,1.026000262936501,0.00039249640543932663",221,186,25.1179389953613,"0.00778064489364624,1.0475615328867764,0.015404624731174541",217,254,-77.4752731323242,"0.055435495376586916,1.0000004219552168,0.035713280484622294","1.1,1,1,1","50,50",,,,,,
asymmetrical2e6,152,135,46.3266410827637,"-0.0053998932242393495,1.0260002525335736,0.0007524866270312211",227,166,28.5359992980957,"0.003967464367548625,1.0427812265443073,0.01914691381016799",131,170,49.2801208496094,"0.0072011257211367285,1.0260001931812746,-0.006808574600835364","1,1,1,1,0","50,50,13",,,,,,
asymmetrical2e9,145,165,41.0357780456543,"0.005400190874934197,1.026000426086489,-0.001767564529121077",167,125,48.0064125061035,"-0.008998702590664227,1.0260002203207295,0.006151622837739374",227,167,11.5153532028198,"0.004194167653719584,1.0429689635815158,0.019050838450556457","1,1,1,1,0","50,50,0",,,,,,
banana2e4,143,147,10.486478805542,"-0.0018300381302833557,1.108500287121018,-0.004215839412830709",103,176,-26.7973175048828,"0.014865939219792684,1.1142484604637306,-0.02681592328685052",78,70,1.47685921192169,"-0.10671734015146891,0.9999530815358827,-0.09604564216842741","1,1,0,0,0","20,27,0",,,,,,
banana2e5,146,149,3.82559633255005,"-0.0006099754571914673,1.1085049599626111,-0.0023856496951441676",103,177,-30.2562713623047,"0.015432821810245514,1.1142755912238793,-0.0268074074158085",148,219,-0.013990513049066,"0.09202225804328919,0.9999530181360692,-0.0026673356781503096","1,1,0,1,1","27,31,0",,,,,,
banana2e6,104,178,-29.447229385376,"0.01600241204102834,1.1142859953735091,-0.026232537393408296",146,149,1.91307008266449,"-0.0006100102762381237,1.1084997371758734,-0.002385791582741597",170,118,2.16692614555359,"-0.020053386688232422,1.1059935421076097,0.012586365063576606","1,1,1,1,0","24,22,42",,,,,,
banana2e9,148,147,-0.645066142082214,"-0.001830161064863205,1.1084926154025987,-0.001165861255694365",101,190,-8.6002779006958,"0.02285053531328837,1.1143245464208966,-0.027934747174757472",146,217,-3.01789855957031,"0.08935554524262745,0.999953010704959,-0.005334683620858253",,,,,,,,
cheese2e4,95,129,-84.9901351928711,"-0.001610530862722477,1.1084998526324632,-0.004127641686850451",77,225,0.593605816364288,"0.00700464136581308,1.1059965294660978,-0.006729522418079914",144,226,0.590396583080292,"0.005828285415365465,1.1084973180037232,-0.0003697135318331369","1,1,1,1,1",,,,,,,
cheese2e5,96,156,19.0479621887207,"0.0004599733453957189,1.108504245624635,-0.004049341091464422",101,108,-85.2724838256836,"-0.003219745095937814,1.1085041701388458,-0.0036659502181214864",103,131,-87.2120895385742,"-0.0014565428592613562,1.1085041094089327,-0.003512608020537055","1,1,0,1,1",,,,,,,
cheese2e6,79,89,-83.7624359130859,"-0.00468125602155989,1.1084933847282687,-0.005358265437983791",126,144,19.879581451416,"-0.0004602171656748188,1.1084962343785436,-0.0017504556843609056",110,67,13.5579414367676,"-0.006368178223998641,1.108493931139118,-0.0029785908352147725","1,1,0,1,1","9,20,48",,,,,,
cheese2e9,125,92,9.99684715270996,"-0.0044486665440995705,1.108496555306804,-0.0018271154582740127",217,126,3.13917207717895,"-0.0018398872721060576,1.1084965537188838,0.005226767146584873",182,214,0.468437552452087,"0.004907819220362342,1.1084953832410849,0.0025443230698009075","0,0,0,0,0",,,,,,,
lemon2e4,113,148,-26.9583511352539,"-0.0006626155475775401,1.050316139850171,-0.012208077906620454",31,69,-56.7575454711914,"-0.054107592254877095,0.9998803180533606,-0.07949156223024949",28,120,74.723518371582,"-0.020040249824523928,0.9998803194618161,-0.08149717826412493","1,0,0",,,,,,,
lemon2e5,29,119,78.8042755126953,"-0.020708118031422296,0.9998803289095126,-0.08082862265514405",96,98,-54.272891998291,"-0.016250609556833905,1.0531401634794326,-0.01682250167019344",110,162,-24.6676368713379,"0.0041222843527793885,1.0484852349417424,-0.013692469799242678","1,1,1",,,,,,,
lemon2e6,94,98,-74.9294281005859,"-0.007086741328239441,1.0795651423976915,-0.007552314135132391",25,121,-70.1986770629883,"-0.019372623215119043,0.9998803507279127,-0.08350284960115026",104,148,-0.897194921970367,"-0.0006498284141222636,1.0512778620661583,-0.014894783485284235","1,0,1",,,,,,,
lemon2e9,92,101,-60.2707862854004,"-0.01528176891307036,1.0532372095173006,-0.018035396685151934",24,100,47.025276184082,"-0.03340130299329758,0.9998803338716604,-0.08417144723883624",62,168,1.4607036113739,"0.006225307434797287,1.048152921438898,-0.03038669935159591",1.0.1,,,,,,,
sponge2e4,130,171,-59.070369720459,"0.011384612619876862,1.0186922435282193,-0.010823801635912116",76,177,-57.5461769104004,"0.014468138515949249,1.019661168249366,-0.039633776248079",196,137,25.3613357543945,"-0.00710448627670606,1.0180000823411324,0.025156964677202617","1,1,1",,,,,,,
sponge2e5,87,131,56.0634307861328,"-0.010255839079618455,1.0190669180025633,-0.0339871541344704",77,184,-40.1335716247559,"0.01839987764755885,1.0188636373454414,-0.03948677668323268",156,116,-21.281759262085,"-0.01849093089501063,1.018419163336261,0.0032815263249215453","1,1,1",,,,,,,
sponge2e6,92,123,9.0331506729126,"-0.014564404338598251,1.019117991465538,-0.0312673965830126",157,116,-15.4710931777954,"-0.018500244617462157,1.0183775276357776,0.0038272534145233753",169,231,7.66873598098755,"0.054188987910747534,0.9996373830910712,0.012710641202914144","1,1,0",,,,,,,
sponge2e9,155,113,1.09803175926209,"-0.01999078984061877,1.0189536184330947,0.0027204131206021356",100,121,9.12730312347412,"-0.015450047900279363,1.020112659080608,-0.02661791489599081",177,236,4.97990989685059,"0.05753092437982559,0.9996373741210614,0.018061681227471482","1,1,0",,,,,,,
triangle2e4,155,156,2.66441226005554,"-0.0027000001072883606,0.997749999910593,-0.012499995529651642",240,137,3.47139406204224,"0.0058499995867411295,0.959500002861023,-0.012500002980232239",235,173,2.15492844581604,"-0.01034999926884969,0.9617500027020772,-0.012500002980232239","1,1,1","50,36,43",,,,,,
triangle2e5,173,154,1.69875776767731,"-0.0018000098069508872,0.9896499436100324,-0.012499630451202393",141,161,1.8027321100235,"-0.004950112750132879,1.0040500922501088,-0.012498460710048676",245,137,3.9064679145813,"0.0058508222301801045,0.9572439913948377,-0.012490510940551758","1,1,1","50,50,50",,,,,,
triangle2e6,142,162,0.955480873584747,"-0.005400645136833191,1.003600430091222,-0.01249193400144577",174,154,0.693706393241882,"-0.001800061861673991,0.989199628829956,-0.012497678399085999",245,137,5.59731388092041,"0.005850799630085627,0.9572441565493742,-0.01249077171087265","1,1,1","50,50,50",,,,,,
triangle2e9,166,140,-0.038571957498789,"0.004508201281229655,0.9927868779500325,-0.012376978993415833",218,148,2.31366419792175,"0.0009024436275164286,0.9693169166644414,-0.01231672614812851",271,130,5.99978542327881,"0.008197052280108134,0.9504078337053458,-0.018522106111049652","0,0,0","3,3,11",Pick,up,success,for,3,
triangle_multi2e4,241,147,25.5132217407227,"0.0011676511913537978,0.9645812471956015,-0.02161743864417076",215,141,2.97574687004089,"0.00365571454167366,0.9735976171990236,-0.019071422517299652",160,157,2.85116243362427,"-0.003105251242717107,0.9955639267961184,-0.013458900153636932","1,1,1",,,,,,,
triangle_multi2e5,239,146,-34.8544273376465,"0.001561604638894399,0.9652542967845996,-0.021439824253320694",275,140,25.7389259338379,"0.003743393470843633,0.9532075816144546,-0.02384909614920616",180,162,0.79785418510437,"-0.005192270874977112,0.9870193228125572,-0.015096612274646759","1,0,1",,,,,,,
triangle_multi2e6,243,144,-50.2331008911133,"0.0023313887417316438,0.9638634745031596,-0.021715279668569565",275,140,24.4291076660156,"0.003729106237490972,0.9533861720313629,-0.02406340464949608",142,165,4.53077411651611,"-0.007071319967508316,1.0037713706493379,-0.009286798536777496","0,1,1",,,,,,,
triangle_multi2e9,246,148,30.0863361358643,"0.0007736956576506297,0.9628626084327698,-0.02197282388806343",216,117,17.9958076477051,"0.014526592493057251,0.9709468150138855,-0.013970032334327698",207,93,-28.2812900543213,"0.025176844596862792,0.9748231554031372,-0.013745144009590149","0,0,0",,,,,,,
