name,center_j1,center_i1,angle1,center_3d1,center_j2,center_i2,angle2,center_3d2,center_j3,center_i3,angle3,center_3d3,center_j4,center_i4,angle4,center_3d4,center_j5,center_i5,angle5,center_3d5
asymmetrical2e4,185,241,-18.5703125,"0.04851901282866796,1.0000003836958147,0.018661173957053613",183,153,23.1285591125488,"0.0010797011852264405,1.0260001796132976,0.011909222597587536",118,154,14.0081825256348,"0.0014403818051020305,1.0260001708765216,-0.011490563322155787",,,,"0,0,1",,,,"0,0,1"
asymmetrical2e5,185,241,-18.5703125,"0.048518990228573484,1.0000004209595543,0.018661165311282386",183,153,23.1285591125488,"0.0010797011852264405,1.0260001796132976,0.011909222597587536",118,154,14.0081825256348,"0.0014403818051020305,1.0260001708765216,-0.011490563322155787",,,,,,,,
asymmetrical2e6,185,241,-18.5703125,"0.04851901282866796,1.0000003836958147,0.018661173957053613",183,153,23.1285591125488,"0.0010797030478715897,1.026000086455501,0.011909242970253133",118,154,14.0081825256348,"0.0014403804143269857,1.0260002230166376,-0.011490552130771556",,,,,,,,
asymmetrical2e9,185,241,-18.5703125,"0.04851901282866796,1.0000003836958147,0.018661173957053613",183,153,23.1285591125488,"0.0010796964913606644,1.0260004143709451,0.01190917125847023",118,154,14.0081825256348,"0.0014403754472732545,1.0260004092313377,-0.011490512161542161",,,,,,,,
banana2e4,105,171,8.09997653961182,"0.012025724798440935,1.1141149083487347,-0.025712356226676027",151,151,3.22519564628601,"0.0006099796295166016,1.108502809173824,0.0006642310866398471",208,140,-1.01498031616211,"-0.006266051530838012,1.105991114383878,0.03639609916251784",,,,,,,,
banana2e5,105,171,8.09997653961182,"0.012026696950197221,1.1141079654500368,-0.025714442880731696",151,151,3.22519564628601,"0.0006100082894166311,1.1084985101750022,0.0006642575970448567",208,140,-1.01498031616211,"-0.006264690558115641,1.1060115329190994,0.03638821572896023",,,,,,,,
banana2e6,105,171,8.09997653961182,"0.012025738358497622,1.114114811505727,-0.025712385332365646",151,151,3.22519564628601,"0.0006099910040696463,1.1085011029853835,0.0006642416081004142",208,140,-1.01498031616211,"-0.006265557805697123,1.105998521691911,0.03639323925997905",,,,,,,,
banana2e9,105,171,8.09997653961182,"0.012029126286506655,1.1140906156527544,-0.025719657276971675",151,151,3.22519564628601,"0.0006100748479366303,1.1084885263649134,0.000664319163670009",208,140,-1.01498031616211,"-0.006265121201674144,1.106005072017626,0.03639071023147645",,,,,,,,
cheese2e4,118,74,21.4110641479492,"-0.005826344613394411,1.1085028094229783,-0.002362779444158429",83,135,-35.3746490478516,"-0.001150400794345219,1.1085004035652457,-0.00504804134287801",67,26,-0.827716112136841,"-0.011574000258127715,1.1060057798145964,-0.007658777113672185",,,,,,,,
cheese2e5,118,74,21.4110641479492,"-0.005826849986336545,1.1085018121541812,-0.002362993063881931",83,135,-35.3746490478516,"-0.00115040526469411,1.1085003588784177,-0.005048061347680948",67,26,-0.827716112136841,"-0.011575883417433345,1.1060035028508113,-0.007660039513284646",,,,,,,,
cheese2e6,118,74,21.4110641479492,"-0.005830692896925473,1.1084942288142352,-0.0023646174513965892",83,135,-35.3746490478516,"-0.0011509967477317583,1.108494446252492,-0.005050708233169581",67,26,-0.827716112136841,"-0.011586930618118751,1.1059901454700456,-0.007667445143717684",,,,,,,,
cheese2e9,118,74,21.4110641479492,"-0.005828792203918081,1.1084979795133145,-0.0023638140337997027",83,135,-35.3746490478516,"-0.0011508605883551182,1.1084958073387938,-0.005050098920213451",67,26,-0.827716112136841,"-0.011581322714446545,1.10599692609319,-0.007663685814700035",,,,,,,,
lemon2e4,45,171,-37.4075965881348,"0.01402658522129059,0.9998803100587829,-0.07013308248165678",107,96,-0.841633081436157,"-0.017050157636404037,1.0526520744041317,-0.01352433240926144",40,76,-19.3133792877197,"-0.04942866126696269,0.9998803143090034,-0.07347519513787715",,,,,,,,
lemon2e5,45,171,-37.4075965881348,"0.014026580005884172,0.999880347285591,-0.07013305636738425",107,96,-0.841633081436157,"-0.01704690411686897,1.0526611093633225,-0.013521732607392733",40,76,-19.3133792877197,"-0.04942864288886388,0.9998803515345698,-0.07347516778184177",,,,,,,,
lemon2e6,45,171,-37.4075965881348,"0.01402658209204674,0.9998803323948677,-0.07013306681309325",107,96,-0.841633081436157,"-0.017042355090379713,1.0526737419196188,-0.013518097599998398",40,76,-19.3133792877197,"-0.04942865391572317,0.99988032919923,-0.073475184195463",,,,,,,,
lemon2e9,45,171,-37.4075965881348,"0.01402658209204674,0.9998803323948677,-0.07013306681309325",107,96,-0.841633081436157,"-0.017075129002332688,1.0525827294164434,-0.013544286370842366",40,76,-19.3133792877197,"-0.04942865391572317,0.99988032919923,-0.073475184195463",,,,,,,,
sponge2e4,197,195,-38.7525634765625,"0.03009936958551407,0.9996374026329244,0.03143677319987267",57,123,-1.95127391815186,"-0.0036904715001583096,1.0795101257887256,-0.012632120588798684",179,162,-1.20432722568512,"0.006574749350547791,1.017799807181317,0.015906785719347658",,,,,,,,
sponge2e5,197,195,-38.7525634765625,"0.030099376291036605,0.9996373802741897,0.03143678018106336",57,123,-1.95127391815186,"-0.0036889439821243286,1.0795186067345315,-0.012626850654095826",179,162,-1.20432722568512,"0.006574509143829346,1.017802810344365,0.015906208222636917",,,,,,,,
sponge2e6,197,195,-38.7525634765625,"0.030099376291036605,0.9996373802741897,0.03143678018106336",57,123,-1.95127391815186,"-0.003689207173883915,1.0795171454653354,-0.012627758665233172",179,162,-1.20432722568512,"0.006576825380325318,1.0177738518044033,0.015911776838562368",,,,,,,,
sponge2e9,197,195,-38.7525634765625,"0.030099376291036605,0.9996373802741897,0.03143678018106336",57,123,-1.95127391815186,"-0.0036978884786367417,1.0794689459197364,-0.012657709152340513",179,162,-1.20432722568512,"0.006600828766822815,1.0174737516081096,0.015969484952801635",,,,,,,,
triangle2e4,193,114,0.618826746940613,"0.016203314065933228,0.9806460415323576,-0.012486189603805542",145,125,2.61169028282166,"0.011259004473686218,1.0022518008947372,-0.012445971369743347",243,101,-1.10161566734314,"0.0220826851328214,0.958087964951992,-0.012399941682815552",,,,,,,,
triangle2e5,193,114,0.618826746940613,"0.016203335523605346,0.9806460159023602,-0.012486100196838379",145,125,2.61169028282166,"0.011259141067663828,1.0022518282135329,-0.012445151805877686",243,101,-1.10161566734314,"0.022082694868246714,0.9580879464745522,-0.012399911880493164",,,,,,,,
triangle2e6,193,114,0.618826746940613,"0.01620304763317108,0.9806463597714901,-0.012487299740314484",145,125,2.61169028282166,"0.011258633186419804,1.002251726637284,-0.012448199093341827",243,101,-1.10161566734314,"0.022082327355941136,0.9580886439979076,-0.0124010369181633",,,,,,,,
triangle2e9,193,114,0.618826746940613,"0.016231214404106138,0.9806127161284288,-0.01236993819475174",145,125,2.61169028282166,"0.011271964758634567,1.002254392951727,-0.012368209660053253",243,101,-1.10161566734314,"0.02212840269009272,0.9580011948943138,-0.012259989976882935",,,,,,,,
triangle_multi2e4,204,115,1.41491293907166,"0.016310637692610423,0.9748350161314011,-0.010097265243530273",231,98,1.65775156021118,"0.02260771652062734,0.9647841338813304,-0.014785431325435638",193,69,1.35030925273895,"0.03410123929381371,0.9818968729674816,-0.01684955507516861",,,,,,,,
triangle_multi2e5,204,115,1.41491293907166,"0.016289965560038883,0.9748669102787971,-0.010185860097408295",231,98,1.65775156021118,"0.02261497437953949,0.9647728283703327,-0.014764495193958282",193,69,1.35030925273895,"0.03409530490636826,0.9819000233213107,-0.016860544681549072",,,,,,,,
triangle_multi2e6,204,115,1.41491293907166,"0.016244271645943324,0.9749374094605446,-0.01038169115781784",231,98,1.65775156021118,"0.022623384197552998,0.9647597284615039,-0.014740236103534698",193,69,1.35030925273895,"0.034076190143823626,0.9819101706643899,-0.016895942389965057",,,,,,,,
triangle_multi2e9,204,115,1.41491293907166,"0.016296783834695815,0.9748563906550407,-0.01015663892030716",231,98,1.65775156021118,"0.022625380754470827,0.9647566184401513,-0.014734476804733276",193,69,1.35030925273895,"0.03419462442398072,0.9818472981452941,-0.01667661964893341",,,,,,,,
